0001	先知_电影	8	9	10	27
0001	先知_公司	9	7	6	22
0001	先知_游戏	10	10	7	27
0001	先知_人物	6	6	8	20
0001	先知_电子设备	5	8	9	22
0002	波斯猫_舞蹈	10	8	7	25
0002	波斯猫_动物	9	10	10	29
0002	波斯猫_视频	8	5	6	19
0002	波斯猫_音乐	7	2	9	18
0002	波斯猫_游戏	6	9	4	19
0003	猫头鹰_电影	10	10	9	29
0003	猫头鹰_动物	9	4	10	23
0003	猫头鹰_游戏	4	8	7	19
0003	猫头鹰_视频	8	7	4	19
0003	猫头鹰_漫画	7	9	5	21
0004	adobe_软件	10	10	10	30
0004	adobe_网站	9	9	9	27
0005	传奇_游戏	10	8	9	27
0005	传奇_电影	9	9	8	26
0005	传奇_歌曲	8	10	10	28
0005	传奇_电视节目	7	7	3	17
0005	传奇_小说	4	6	7	17
0006	小米_手机	10	8	10	28
0006	小米_论坛	9	7	7	23
0006	小米_公司	7	6	9	22
0006	小米_官网	8	10	8	26
0006	小米_食物	6	9	6	21
0007	中国水电_公司	8	7	9	24
0007	中国水电_股票	5	9	4	18
0008	云轩_小说	9	10	9	28
0008	云轩_网站	7	8	10	25
0009	遮天_游戏	10	8	10	28
0009	遮天_小说	6	9	9	24
0009	遮天_官网	3	10	6	19
0009	遮天_下载	7	5	7	19
0009	遮天_电影	9	7	5	21
0010	舍得_歌词	9	9	10	28
0010	舍得_网站	8	8	6	22
0010	舍得_公司	6	7	5	18
0010	舍得_酒	4	10	8	22
0011	秋菊_电影	10	10	10	30
0011	秋菊_文学	5	5	8	18
0011	秋菊_植物	6	7	9	22
0011	秋菊_电视剧	9	8	5	22
0012	三字经_影音	9	6	6	21
0012	三字经_内容	8	9	7	24
0013	三毛_漫画人物	10	7	7	24
0013	三毛_作家	9	5	10	24
0014	阳光_汽车	10	10	8	28
0014	阳光_网站	2	9	1	12
0014	阳光_文学	5	2	7	14
0014	阳光_人物	9	1	6	16
0015	嫦娥_神话故事人物	5	5	9	19
0015	嫦娥_文学作品	3	8	10	21
0015	嫦娥_航天飞行器	4	4	5	13
0016	程序员_网站	4	7	10	21
0016	程序员_介绍	6	6	7	19
0016	程序员_职业	7	9	8	24
0016	程序员_课程	9	8	6	23
0016	程序员_招聘	10	10	9	29
0017	泰国_食品	10	9	10	29
0017	泰国_护肤品	6	8	5	19
0017	泰国_特产	9	7	9	25
0017	泰国_宝石	8	6	8	22
0017	泰国_攻略	5	10	7	22
0018	科学美国人_图书	10	10	9	28
0018	科学美国人_网站	8	9	8	25
0018	科学美国人_影音	9	8	10	27
0019	黄金_贵金属	9	3	7	19
0019	黄金_影视	10	10	5	25
0020	浴缸_品牌	10	7	9	26
0020	浴缸_家居	6	10	10	26
0020	浴缸_类型	7	9	6	22
0020	浴缸_评价	8	8	7	23
0020	浴缸_选购	9	5	8	22
0021	婚戒_品牌	8	8	10	26
0021	婚戒_知识	3	10	7	20
0021	婚戒_影视	0	1	2	3
0022	三星_网站	6	5	3	14
0022	三星_电脑	8	9	4	21
0022	三星_手机	10	8	6	24
0022	三星_相机	9	7	5	21
0023	饥饿游戏_影视	5	7	6	18
0023	饥饿游戏_小说	9	9	9	27
0024	心理测试_游戏	10	10	10	30
0024	心理测试_网站	9	8	9	26
0024	心理测试_图片	8	9	8	25
0025	椰岛_造型	6	9	10	25
0025	椰岛_商铺	7	8	8	23
0025	椰岛_官网	10	10	9	29
0025	椰岛_价格	9	7	6	22
0025	椰岛_评价	8	6	7	21
0026	野葛根_功效	5	9	10	24
0026	野葛根_产地	6	8	8	22
0026	野葛根_品牌	7	7	7	21
0026	野葛根_植物	8	10	9	27
0026	野葛根_评价	9	5	5	19
0027	秧歌_影音	10	10	9	29
0027	秧歌_知识	7	8	6	21
0027	秧歌_小说	5	6	5	16
0028	卫子夫_历史人物	5	9	10	24
0028	卫子夫_电视剧	6	8	7	21
0029	佛教_音乐	10	8	9	27
0029	佛教_网站	8	10	8	26
0029	佛教_音乐经	9	9	10	28
0030	浏览器_类别	10	10	10	30
0030	浏览器_下载	8	9	9	26
0030	浏览器_排行榜	9	8	8	25
0031	相亲节目_信息	6	9	4	19
0031	相亲节目_类别	5	7	9	21
0031	相亲节目_名称	8	6	6	20
0032	哈利波特_网站	6	7	6	19
0032	哈利波特_系列	7	8	9	24
0032	哈利波特_电影	10	10	10	30
0032	哈利波特_内容	8	6	8	22
0033	安卓_游戏下载	6	10	10	26
