51,apple news,apple stores,0
51,apple vacations,apple commercial,0
51,apple ipod shuffle macbook ipod touch macbook pro ,apple macbook air,0
51,apple store,apple store china,1
51,apple aspects,apple macbook air,0
51,apple tree,jazz apple trees,1
51,reviews macbook,blossom,0
51,reviews macbook,laptops,0
51,apple nokia blackberry sony samsung ,apple at t,0
51,apple stock price,apple history,0
51,apple nokia blackberry sony samsung ,apple lg,0
51,review amazon,laptop,1
51,apple iphone,apple brasil iphone 5,0
51,macbook review,walmart,0
51,apple controversy,apple people,0
51,apple stock price,apple store,0
51,software currency,macintosh,0
51,apple free,apple free plants,1
51,apple company,steve jobs,1
51,apple valley,viva marias,0
51,apple new,apple store,0
51,apple fruit,coconut,0
51,apple stock price,apple stores,0
51,apple botanical information,apple human consumption,0
51,macbook software,currency,0
51,apple botanical information,apple iphone 5,0
51,apple free,apple free physical,1
51,apple cultivars,related items apple macbook pro keyboards,0
51,cashew apple,apple nursery,0
51,apple fruit,fiber,0
51,apple valley,map,0
51,apple vacations,itunes,0
51,apple company,store,0
51,apple company,ipod,1
51,apple products price,apple iphone 5,0
51,apple cake pie cobbler butter ,apple strudel,1
51,review amazon,basque,0
51,apple store,apple store t shirt,1
51,apple free,apple free hope,1
51,apple iphone,other apple products,0
51,fruit india,fruit,0
51,apple inc.,apple price,1
51,apple company,ipad,1
51,apple products price,apple stock price,0
51,apple botanical information,introduction of apple botanical information,1
51,macbook software,twitter,1
51,apple cultivars,business financing apple capital group,0
51,apple botanical information,apple hulu,0
51,apple tv,apple tv memory,1
51,apple store,new york apple store,1
51,fruit ipod,simple fruit,0
51,apple games,apple games graphics,1
51,apple nokia blackberry sony samsung ,apple motorola,0
51,ipod iphone,itunes store,0
51,apple fruit,storage,0
51,apple commercial,apple iphone,0
51,apple walmart,apple human consumption,0
51,macbook software,walmart,0
51,apple vacations,apple ipod,0
51,apple iphone ipad apple tv ipod ,apple iphone,0
51,apple iphone 3g,apple dell,0
51,apple tree,apple tree not growing,1
51,oak apple,apple roman,0
