0051,apple_botanical,10,9,9,28,,2
0051,apple_company,9,10,10,29,,1
0052,cathedral_architecture,10,10,9,29,,1
0052,cathedral_info,8,9,8,25,,3
0052,cathedral_religion,9,8,10,27,,2
0053,eclipse_astronomy,7,7,8,22,,4
0053,eclipse_automobile,10,8,19,37,,1
0053,eclipse_movie,9,10,9,28,,2
0053,eclipse_software,8,9,7,24,,3
0054,fas_book,7,5,8,20,,4
0054,fas_company,8,6,10,24,,3
0054,fas_harvard,9,9,7,25,,2
0054,fas_software,10,10,9,29,,1
0054,fas_syndrome,6,8,5,19,,5
0055,flesh_body,6,9,8,23,,2
0055,flesh_fly,8,8,5,21,,5
0055,flesh_information,10,10,9,29,,1
0055,flesh_literature,9,6,7,22,,3
0055,flesh_religion,5,7,10,22,,3
0056,ir_chemistry,7,7,3,17,,4
0056,ir_country,10,10,10,30,,1
0056,ir_interest rate,8,2,9,19,,3
0056,ir_languages,5,9,7,21,,2
0056,ir_website,4,3,8,15,,5
0057,lost_blog,8,6,8,22,,4
0057,lost_movie,10,9,10,29,,1
0057,lost_music,6,4,7,17,,5
0057,lost_property,7,8,9,24,,2
0057,lost_series,9,10,4,23,,3
0058,shrew_animal,10,6,10,26,,1
0058,shrew_archery,8,7,9,24,,3
0058,shrew_information,9,9,8,26,,1
0058,shrew_literature,7,8,7,22,,4
0058,shrew_software,6,10,6,22,,4
0059,symmetry_art,8,9,9,26,,1
0059,symmetry_business,3,4,10,17,,5
0059,symmetry_game,9,10,6,25,,2
0059,symmetry_math,7,8,8,23,,4
0059,symmetry_science,10,7,7,24,,3
0060,the presidents of the united states of america_duties,9,8,9,26,,2
0060,the presidents of the united states of america_history,10,10,7,27,,1
0060,the presidents of the united states of america_music,6,6,5,17,,5
0060,the presidents of the united states of america_picture,8,9,8,25,,3
0060,the presidents of the united states of america_politics,7,7,10,24,,4
0061,windows_house,6,7,6,19,,5
0061,windows_musical group,7,6,7,20,,4
0061,windows_operating system,10,10,10,30,,1
0061,windows_software,9,8,8,25,,3
0061,windows_website,8,9,9,26,,2
0062,prophet_comics,9,8,10,27,,2
0062,prophet_music,10,10,9,29,,3
0062,prophet_religion,8,9,8,25,,1
0063,gold_characteristics,9,9,8,26,,2
0063,gold_company,7,8,7,22,,4
0063,gold_facts,8,7,9,24,,3
0063,gold_price,10,10,10,30,,1
0064,owl_animal,10,10,10,30,,1
0064,owl_company,8,7,7,22,,3
0064,owl_education,6,6,9,21,,4
0064,owl_music,9,9,8,26,,2
0064,owl_tattoo,7,8,6,21,,4
0065,adobe_architecture,7,8,9,24,,3
0065,adobe_company,6,6,6,18,,5
0065,adobe_material,8,7,8,23,,4
0065,adobe_service,9,9,7,25,,2
0065,adobe_software,10,10,10,30,,1
0066,legend_car,10,10,6,26,,1
0066,legend_game,9,8,9,26,,1
0066,legend_movie,8,9,8,25,,3
0066,legend_music,7,3,7,17,,5
0066,legend_novel,5,7,10,22,,4
0067,beijing subways_game,8,8,8,24,,3
0067,beijing subways_information,10,10,10,30,,1
0067,beijing subways_video,9,9,9,27,,2
0068,camera_art,8,10,10,28,,1
0068,camera_information,9,9,8,26,,3
0068,camera_model,10,8,9,27,,2
0069,free dvd burner_platform,9,9,9,27,,2
0069,free dvd burner_software,10,10,10,30,,1
0070,lost season 5_download,9,10,8,27,,2
0070,lost season 5_online,8,9,8,25,,3
0070,lost season 5_series,10,8,19,37,,1
0071,mobile phones_brand,10,10,10,30,,1
0071,mobile phones_information,9,8,8,25,,3
0071,mobile phones_service,8,9,9,26,,2
0072,programming languages_history,8,9,10,27,,2
0072,programming languages_particular language,10,10,8,28,,1
0072,programming languages_taxnonmy,9,8,9,26,,3
0073,tom cruise_biography,9,8,9,26,,2
0073,tom cruise_book,7,4,7,18,,4
0073,tom cruise_business,6,6,4,16,,5
0073,tom cruise_movie,10,10,10,30,,1
0073,tom cruise_news,8,9,3,20,,3
0074,top ipad games_2013,5,6,7,18,,5
0074,top ipad games_apps,8,7,8,23,,3
0074,top ipad games_free,9,10,10,29,,1
0074,top ipad games_sports,10,9,9,28,,2
0074,top ipad games_wallpapers,7,8,5,20,,4
0075,watches_adornment,5,6,9,20,,4
0075,watches_brand,10,9,10,29,,1
0075,watches_category,9,10,8,27,,2
0075,watches_functions,8,8,7,23,,3
0075,watches_history,7,7,5,19,,5
0076,thai specialties_food,10,10,8,28,,1
0076,thai specialties_restaurant,9,8,9,26,,2
0076,thai specialties_speciality,8,9,10,27,,3
0077,scientific american_computer,5,5,10,20,,5
0077,scientific american_jobs,7,8,8,23,,2
0077,scientific american_magazine,10,10,7,27,,1
0077,scientific american_products,9,7,6,22,,3
0077,scientific american_series,8,9,4,21,,4
0078,persian cat_animal,10,8,10,28,,1
0078,persian cat_category,9,9,8,26,,2
0078,persian cat_necklace,8,10,9,27,,3
0079,bathtub_contents,9,9,9,27,,2
0079,bathtub_manufacturer,10,10,10,30,,1
0080,wedding ring_design,10,10,9,29,,1
0080,wedding ring_tradition,9,9,10,28,,2
0081,samsung_mobile,8,10,9,27,,2
0081,samsung_product,7,7,7,21,,3
0081,samsung_software,6,4,8,18,,5
0081,samsung_tablet,9,8,2,19,,4
0081,samsung_tv,10,9,10,29,,1
0082,the hunger games_movie,10,9,9,28,,2
0082,the hunger games_novel,9,10,10,29,,1
