0051,ipad iphone,4,1
0051,ipod iphone,20,1
0051,fruit india,20,0
0051,amazon,1,0
0051,apple botanical information,40,1
0051,apple commercial,19,1
0051,apple inc.,10,1
0051,software currency,9,0
0051,apple iphone 3g,20,1
0051,review amazon,10,0
0051,apple varieties of apples,20,1
0051,apple walmart,20,1
0051,cashew apple,10,1
0051,reviews macbook,20,1
0051,apple news,22,1
0051,apple company,29,1
0051,apple vacations,40,1
0051,apple corps,10,1
0051,macbook review,10,1
0051,best buy,1,0
0051,macbook software,10,1
0051,apple free,9,1
0051,apple aspects,20,1
0051,apple valley,30,1
0051,apple tv,31,1
0051,apple stock price,43,1
0051,apple new,21,1
0051,apple support,10,1
0051,apple tree,6,1
0051,apple games,8,1
0051,apple store,10,1
0051,apple bank,5,1
0051,apple festival,7,1
0051,apple cultivars,20,1
0051,apple iphone,51,1
0051,apple adam blossom brandy apples ,10,1
0051,fruit ipod,20,1
0051,apple apples,10,1
0051,apple cider,8,1
0051,apple products price,4,1
0051,att,2,0
0051,apple ipod shuffle macbook ipod touch macbook pro ,10,1
0051,apple nokia blackberry sony samsung ,10,1
0051,apple 3g,20,1
0051,apple iphone ipad apple tv ipod ,10,1
0051,apple fruit,29,1
0051,apple cake pie cobbler butter ,10,1
0051,apple controversy,20,1
0051,oak apple,1,1
0051,apple cake,1,1
0051,currency,2,0
0051,apple accessories,2,1
0051,nokia,2,0
0051,apple in north america,4,1
0051,apple human consumption,4,1
0051,introduction of apple botanical information,4,1
0051,apple games ads,1,1
0051,china,2,0
0051,computer,3,0
0051,apple free free,1,1
0051,apple environment,4,1
0051,apple apples dance,1,1
0051,vacation,1,0
0051,sugar,1,0
0051,afrikaans,1,0
0051,apple ipad event,4,1
0051,samsung,2,0
0051,culture,2,0
0051,apple store el paso,1,1
0051,apple nursery,1,1
0051,apple apples massachusetts,1,1
0051,apple support itunes,1,1
0051,apple mac,5,1
0051,apple ibook,1,1
0051,apple family,4,1
0051,california,3,0
0051,isaac newton,2,0
0051,making cider with cooking apples,1,1
0051,apple crab,1,1
0051,apple games ny,1,1
0051,apple ipod classic,1,1
0051,ibook,2,1
0051,apple cultural aspects,4,1
0051,high school,3,0
0051,store apple uk,1,1
0051,apple apples shoes,1,1
0051,apple invest,1,1
0051,apple green,1,1
0051,apple iphone logo,1,1
0051,introduction of apple walmart,2,1
0051,facebook,1,0
0051,apple support finance,1,1
0051,ipod touch,2,1
0051,apple games graphics,1,1
0051,apple store games,1,1
0051,jailbreaking apple tv,1,1
0051,apple harvest,1,1
0051,desktop,1,0
0051,italy,2,0
0051,juice,2,0
0051,apple support inc,1,1
0051,producing countries,2,0
0051,apple apples virginia,1,1
0051,apple iphone,24,1
0051,apple apple tv,1,1
0051,apple cobbler,1,1
0051,apple crumble,1,1
0051,apple ipod shuffle,3,1
0051,business financing apple capital group,2,1
0051,homes,3,0
0051,apple apples lady,1,1
0051,apple support support,1,1
0051,apple people,4,1
0051,apple cider,1,1
0051,macbook air,2,1
0051,product prices,2,0
0051,att,1,0
0051,apple ipad,2,1
0051,apple att,2,1
0051,apple iphone 5,17,1
0051,fruit,2,0
0051,apple icloud,2,1
0051,apple games games,1,1
0051,apple ipod shuffle 4th generation,2,1
0051,apple iphone plans,1,1
0051,apple controversy,2,1
0051,apple festival georgia,1,1
0051,apple festival park,1,1
0051,fiber,1,0
0051,apple mac mini,2,1
0051,apple at t,1,1
0051,amazon,6,0
0051,itunes,5,1
0051,apple support events,1,1
0051,apple support service,1,1
0051,armenia,1,0
0051,apple iphone 3g,5,1
0051,apple tv memory,1,1
0051,ipod,1,1
0051,apple iphone 4,5,1
0051,apple games manuals,1,1
0051,apple bee,1,1
0051,apple varieties of apples,2,1
0051,santa rosa,1,0
0051,apple store stock market,1,1
0051,macintosh,1,0
0051,apple news,11,1
0051,apple imac core,2,1
0051,apple stores,18,1
0051,apple granny,1,1
0051,apple accessory,1,1
