0001,先知电子,韩国先知集团,2,1
0001,先知人物,先知动画喜羊羊灰太狼角色,2,1
0001,先知_美国亚历克斯·普罗亚斯执导电影,电影先知,1,1
0001,先知出装,d0ta请教先知,1,1
0001,先知有限公司,先知韩国电子狗升级,2,0
0001,先知集团,先知出装,2,0
0001,先知出装,先知女先知,2,0
0001,先知/神秘代码,先知剧情,1,1
0001,先知电影,先知剧情,2,1
0001,先知_美国亚历克斯·普罗亚斯执导电影,先知百度影音,3,0
0001,先知有限公司,先知电子狗升级网站,2,0
0001,先知纪伯伦,先知出什么,2,0
0001,先知dota,d0ta先知1级,2,1
0001,先知出装,虚空先知视频,2,1
0001,先知电子有限公司,先知鹰眼e6,1,0
0001,先知词语,纪伯伦先知全文,2,1
0001,先知装,先知dota树人出装,2,0
0001,先知词语,虚空先知视频,2,1
0001,先知词语,先知尼古拉斯凯奇,2,1
0001,先知纪伯伦,先知纪伯伦,2,0
0001,先知散文诗,先知电子狗升级网站,2,0
0001,先知集团,先知dota英雄出装加点,2,0
0001,先知dota,先知dota出装攻略,2,1
0001,先知人物,死亡先知,2,0
0001,dota先知,d0ta先知今天先知,1,0
0001,先知电影,先知高清电影下载,1,1
0001,先知电子有限公司,先知下载,2,0
0001,先知_游戏dota中的英雄,先知攻略,1,1
0001,先知电子有限公司,先知电子狗官网,2,0
0001,先知集团,先知出装6.72,2,0
0001,先知：阿拉伯散文诗,先知：阿拉伯散文诗,2,0
0001,先知电子,先知出什么装备6.72,2,0
0001,先知电子有限公司,先知集团,3,0
0001,先知剧情,先知游戏星际争霸2中兵种,2,1
0001,先知电子有限公司,韩国先知电子狗升级,2,0
0001,先知_先知电子有限公司,先知电子狗,3,1
0001,d0ta请教先知,d0ta请教先知,1,0
0001,先知纪伯伦,先知出什么装备6.72,2,0
0001,先知纪伯伦,纪伯伦先知全文,2,1
0001,先知剧情,先知dota出装攻略,2,0
0001,先知电子狗,先知森林人o2,1,1
0001,先知_先知电子有限公司,深圳市先知电子有限公司,1,1
0001,先知词语,先知神秘代码,2,1
0001,先知装,先知出装6.72,2,0
0001,先知出装,先知出装6.72,1,1
0001,dota先知,dota先知,1,0
